"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "HTML", "Markdown", "SQL", "comment", "blank", "total"
"d:\Escuela\Web\software-clinica-dental\DB\Dentista.sql", "SQL", 0, 0, 0, 0, 0, 0, 389, 102, 68, 559
"d:\Escuela\Web\software-clinica-dental\Documentacion\Base de datos.sql", "SQL", 0, 0, 0, 0, 0, 0, 387, 102, 68, 557
"d:\Escuela\Web\software-clinica-dental\README.md", "Markdown", 0, 0, 0, 0, 0, 18, 0, 0, 16, 34
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\config\db.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\controllers\citas.controller.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 6, 100
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\controllers\pacientes.controller.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 6, 113
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\citas.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\consentimientopaciente.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\doctor.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\historialedodoncia.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 1, 99
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\historialodontologiageneral.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 0, 1, 91
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\historialodontopediatria.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\historialortod.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 0, 1, 155
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\historialrehabilitacionoral.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 1, 107
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\imagenesdia.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\init-models.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 4, 98
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\odontograma.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\paciente.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 1, 115
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\receta.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\recibo.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\registroevolucion.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Escuela\Web\software-clinica-dental\nodejs-express-sequelize-mysql\app\models\tratamientos.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
